ARCHIVUM PARFUMS | CATÁLOGO MAYORISTA												
Inventario organizado para lectura, búsqueda y filtros. Precios expresados en colones costarricenses.												
Consejo: filtrá por marca, público, concentración o estado de ficha desde los encabezados.												
Código	Perfume	Marca	Público	Presentación	Concentración	Notas principales	Precio mayorista	Tipo	Estado de ficha	Descripción	Imagen	Nombre original exacto
AP-1670	Jaipur Bracelet	Boucheron	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Especiado · Verde	19000	Perfume	Ficha verificada	Salida: lemon verbena, bitter orange, violet leaf y petitgrain. Corazón: hyacinth, lirio de los valles (muguete) y carnation. Fondo: cachemira, iris y cypress.	img/perfumes/jaipur_bracelet_mujer_100ml_edp_boucheron_519aed0057.webp	JAIPUR BRACELET MUJER 100ML EDP BOUCHERON
AP-1656	Believe	Britney Spears	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Oriental · Gourmand	10500	Perfume	Ficha verificada	Salida: guava y tangerine. Corazón: lime blossom y honeysuckle. Fondo: pachulí, praline y ámbar.	img/perfumes/believe_mujer_100ml_edp_britney_spears_2db5ccd3ba.webp	BELIEVE MUJER 100ML EDP BRITNEY SPEARS
AP-1661	Circus	Britney Spears	Mujer	100 ml	EDP	Sin clasificar	10500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/circus_mujer_100ml_edp_britney_spears_27ea6df5d9.webp	CIRCUS MUJER 100ML EDP BRITNEY SPEARS
AP-1660	Curious	Britney Spears	Mujer	100 ml	EDP	Amaderado · Floral · Frutal · Gourmand · Almizclado	10500	Perfume	Ficha verificada	Salida: magnolia, pera y flor de loto. Corazón: jazmín, nardo y cyclamen. Fondo: almizcle, vainilla, white woods y sándalo.	img/perfumes/curious_mujer_100ml_edp_britney_spears_3bd7a2c4ff.webp	CURIOUS  MUJER 100ML EDP BRITNEY SPEARS
AP-2599	Estuche Britney Spears Fantasy	Britney Spears	Mujer	3 pzs. + 100 ml	EDP	Sin clasificar	21000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_britney_spears_fantasy_mujer_3pzs_100ml_edp_crema_gel_de_bano_878e4d7c23.webp	ESTUCHE BRITNEY SPEARS FANTASY MUJER 3PZS 100ML EDP + CREMA + GEL DE BAÑO
AP-1657	Fantasy	Britney Spears	Mujer	100 ml	EDP	Amaderado · Floral · Frutal · Gourmand · Almizclado	11000	Perfume	Ficha verificada	Salida: kiwi, red litchi y quince. Corazón: white chocolate, cupcake, orquídea y jazmín. Fondo: almizcle, raíz de lirio y woodsy notes.	img/perfumes/fantasy_mujer_100ml_edp_britney_spears_c7fcaf1202.webp	FANTASY MUJER 100ML EDP BRITNEY SPEARS
AP-1663	Fantasy Blissful	Britney Spears	Mujer	100 ml	EDP	Sin clasificar	10500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/fantasy_blissful_mujer_100ml_edp_britney_spears_ce8b4935cd.webp	FANTASY BLISSFUL MUJER 100ML EDP BRITNEY SPEARS
AP-1666	Fantasy Festive	Britney Spears	Mujer	100 ml	EDT	Sin clasificar	10500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/fantasy_festive_mujer_100ml_edt_britney_spears_b6cc0ded4d.webp	FANTASY FESTIVE MUJER 100ML EDT BRITNEY SPEARS
AP-1664	Fantasy Intense	Britney Spears	Mujer	100 ml	EDP	Amaderado · Floral · Frutal · Gourmand · Almizclado	10500	Perfume	Ficha verificada	Salida: litchi, pera y kiwi. Corazón: white chocolate, cupcake, jazmín y orquídea. Fondo: pachulí, woodsy notes, almizcle y orris.	img/perfumes/fantasy_intense_mujer_100ml_edp_britney_spears_786417f6f0.webp	FANTASY INTENSE MUJER 100ML EDP BRITNEY SPEARS
AP-1667	Fantasy Intimidate Edition	Britney Spears	Mujer	100 ml	EDP	Cítrico · Floral · Oriental · Gourmand · Almizclado · Verde	10500	Perfume	Ficha verificada	Salida: litchi, italian lemon y violet leaf. Corazón: brown sugar, ozonic notes, genet y jazmín. Fondo: vainilla, white musk, heliotrope y benjuí.	img/perfumes/fantasy_intimidate_edition_mujer_100ml_edp_britney_spears_600ea4b30c.webp	FANTASY INTIMIDATE EDITION MUJER 100ML EDP BRITNEY SPEARS
AP-1662	Fantasy Jungle	Britney Spears	Mujer	100 ml	EDT	Sin clasificar	10500	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/fantasy_jungle_mujer_100ml_edt_britney_spears_00086b9518.webp	FANTASY JUNGLE MUJER 100ML EDT BRITNEY SPEARS
AP-1665	Fantasy Naked	Britney Spears	Mujer	100 ml	EDP	Floral · Frutal · Gourmand · Almizclado	10500	Perfume	Ficha verificada	Salida: applejack y grosella negra. Corazón: durazno (melocotón), osmanthus y water lily. Fondo: cupcake, vainilla, chabacano y almizcle.	img/perfumes/fantasy_naked_mujer_100ml_edp_britney_spears_ab0c366315.webp	FANTASY NAKED MUJER 100ML EDP BRITNEY SPEARS
AP-1659	Hidden Fantasy	Britney Spears	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Oriental · Gourmand · Especiado	10500	Perfume	Ficha verificada	Salida: naranja, tangerine, lemon verbena y neroli. Corazón: sweet notes, clove, lily y jazmín. Fondo: vainilla, ámbar, woodsy notes y sándalo.	img/perfumes/hidden_fantasy_mujer_100ml_edp_britney_spears_699b792527.webp	HIDDEN FANTASY MUJER 100ML EDP BRITNEY SPEARS
AP-1658	Midnight Fantasy	Britney Spears	Mujer	100 ml	EDP	Floral · Frutal · Oriental · Gourmand · Almizclado	10500	Perfume	Ficha verificada	Salida: ciruela, sour cherry y raspberry. Corazón: orquídea, iris y fresia. Fondo: vainilla, ámbar y almizcle.	img/perfumes/midnight_fantasy_mujer_100ml_edp_britney_spears_e29d6ab45d.webp	MIDNIGHT FANTASY MUJER 100ML EDP BRITNEY SPEARS
AP-2504	Splash Perfumes Britney Spears	Britney Spears	Mujer	236 ml	No indicada	Sin clasificar	5000	Splash	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/splash_perfumes_britney_spears_mujer_236ml_curious_fantasy_island_fantasy_private_show_m_8285df53f4.webp	SPLASH PERFUMES BRITNEY SPEARS MUJER 236ML                                                                                                                                                        CURIOUS - FANTASY - ISLAND FANTASY - PRIVATE SHOW - MIDNIGHT FANTASY
AP-1044	Brit	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Oriental · Gourmand · Especiado · Almizclado · Verde	22000	Perfume	Ficha verificada	Salida: jengibre, cardamomo, bergamota y green mandarin. Corazón: wild rose, nuez moscada, cedro y notas especiadas. Fondo: haba tonka, gray musk, cedro y oriental woodsy notes.	img/perfumes/brit_hombre_100ml_edt_burberry_b79c0edf54.webp	BRIT HOMBRE 100ML EDT BURBERRY
AP-1648	Brit	Burberry	Mujer	100 ml	EDP	Cítrico · Frutal · Oriental · Gourmand	22000	Perfume	Ficha verificada	Salida: almond, lime y pera. Corazón: candied almond, azúcar y peony. Fondo: vainilla, haba tonka, ámbar y caoba.	img/perfumes/brit_mujer_100ml_edp_burberry_e19d7b089c.webp	BRIT MUJER 100ML EDP BURBERRY
AP-1649	Brit For Her	Burberry	Mujer	100 ml	EDT	Cítrico · Frutal · Oriental · Gourmand · Verde	20000	Perfume	Ficha verificada	Salida: green almond, lime, pera y lemongrass. Corazón: almond, azúcar y peony. Fondo: vainilla, caoba y ámbar.	img/perfumes/brit_for_her_mujer_100ml_edt_burberry_81b949394e.webp	BRIT FOR HER MUJER 100ML EDT BURBERRY
AP-1647	Britt Sheer	Burberry	Mujer	100 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Gourmand · Almizclado · Verde	20000	Perfume	Ficha verificada	Salida: litchi, yuzu, pineapple leaf y mandarina. Corazón: pink peony, peach blossom y pera. Fondo: white musk y white woods.	img/perfumes/britt_sheer_mujer_100ml_edt_burberry_f21b209f03.webp	BRITT SHEER MUJER 100ML EDT BURBERRY
AP-1048	Burberry	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Oriental · Especiado · Cuero · Almizclado · Verde	19000	Perfume	Ficha verificada	Salida: menta, abrótano, bergamota y enebro. Corazón: carnation, pachulí, vetiver y rosa. Fondo: cuero, myrrh, civet y musgo de roble.	img/perfumes/burberry_hombre_100ml_edt_burberry_11d08b7cfa.webp	BURBERRY HOMBRE 100ML EDT BURBERRY
AP-1644	Burberry	Burberry	Mujer	100 ml	EDP	Sin clasificar	20000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/burberry_mujer_100ml_edp_burberry_88d4d11247.webp	BURBERRY MUJER 100ML EDP BURBERRY
AP-1639	Burberry Blossom	Burberry	Mujer	100 ml	EDT	Sin clasificar	42000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/burberry_blossom_mujer_100ml_edt_bueberry_1e3cade2a1.webp	BURBERRY BLOSSOM MUJER 100ML EDT BUEBERRY
AP-1633	Burberry Goddess	Burberry	Mujer	100 ml	EDP	Gourmand · Especiado · Verde	48000	Perfume	Ficha verificada	Salida: vainilla, lavanda, cacao y jengibre. Corazón: vanilla caviar. Fondo: vanilla absolute.	img/perfumes/burberry_goddess_mujer_100ml_edp_burberry_63d15bdb82.webp	BURBERRY GODDESS MUJER 100ML EDP BURBERRY
AP-1050	Burberry Hero	Burberry	Hombre	100 ml	Parfum	Amaderado · Cítrico · Especiado · Verde	47000	Perfume	Ficha verificada	Salida: bergamota. Corazón: enebro y pimienta negra. Fondo: cedro del atlas, cedro de virginia y himalayan cedar.	img/perfumes/burberry_hero_hombre_100ml_perfum_burberry_1a0027b7d7.webp	BURBERRY HERO HOMBRE 100ML PERFUM BURBERRY
AP-1051	Burberry Hero	Burberry	Hombre	100 ml	EDP	Amaderado · Oriental · Especiado · Verde	36000	Perfume	Ficha verificada	Salida: pine needles y olibanum. Corazón: benjuí y incense. Fondo: cedro del atlas, himalayan cedar y virginia cedar.	img/perfumes/burberry_hero_hombre_100ml_edp_burberry_ac79b62f74.webp	BURBERRY HERO HOMBRE 100ML EDP BURBERRY
AP-1052	Burberry Hero	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Especiado · Verde	33000	Perfume	Ficha verificada	Salida: bergamota. Corazón: enebro y pimienta negra. Fondo: cedro del atlas, cedro de virginia y himalayan cedar.	img/perfumes/burberry_hero_hombre_100ml_edt_burberry_f13ed59c7e.webp	BURBERRY HERO HOMBRE 100ML EDT BURBERRY
AP-1045	Burberry London	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Gourmand · Especiado · Cuero · Verde	20000	Perfume	Ficha verificada	Salida: canela, lavanda y bergamota. Corazón: cuero y mimosa. Fondo: hojas de tabaco, madera de gaiac, opoponax y musgo de roble.	img/perfumes/burberry_london_hombre_100ml_edt_burberry_5499c90501.webp	BURBERRY LONDON HOMBRE 100ML EDT BURBERRY
AP-1645	Burberry London	Burberry	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Gourmand · Almizclado	22000	Perfume	Ficha verificada	Salida: honeysuckle, tangerine y rosa. Corazón: jazmín, tiare flower, peony y clementine. Fondo: almizcle, sándalo y pachulí.	img/perfumes/burberry_london_mujer_100ml_edp_burberry_6994edd9bc.webp	BURBERRY LONDON MUJER 100ML EDP BURBERRY
AP-1640	Burberry London Dream	Burberry	Mujer	100 ml	EDP	Cítrico · Floral · Oriental · Especiado · Almizclado	48000	Perfume	Ficha verificada	Salida: limón (lima ácida) y jengibre. Corazón: peony y rosa. Fondo: almizcle y ámbar.	img/perfumes/burberry_london_dream_mujer_100ml_edp_burberry_a7385e407a.webp	BURBERRY LONDON DREAM MUJER 100ML EDP BURBERRY
AP-1046	Burberry Touch	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Gourmand · Especiado · Almizclado · Verde	22000	Perfume	Ficha verificada	Salida: violet leaf, abrótano y mandarina. Corazón: white pepper, cedro y nuez moscada. Fondo: white musk, haba tonka y vetiver.	img/perfumes/burberry_touch_hombre_100ml_edt_burberry_d5e2beeb62.webp	BURBERRY TOUCH HOMBRE 100ML EDT BURBERRY
AP-1646	Burberry Touch	Burberry	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Gourmand · Especiado · Verde	20000	Perfume	Ficha verificada	Salida: red pepper, cassia, zarzamora (frambuesa negra) y cranberry. Corazón: lily, peony, durazno (melocotón) y nardo. Fondo: cedro, musgo de roble, vainilla y green almond.	img/perfumes/burberry_touch_mujer_100ml_edp_burberry_76b08a1681.webp	BURBERRY TOUCH MUJER 100ML EDP BURBERRY
AP-2419	Estuche Minis Burberry	Burberry	Mujer	4 pzs. + 5 ml	No indicada	Sin clasificar	30000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_minis_burberry_mujer_4pzs_5ml_c_u_2_burberry_goddess_2_her_burberry_5a72e1844c.webp	ESTUCHE MINIS BURBERRY MUJER 4PZS 5ML C/U 2 BURBERRY GODDESS + 2 HER BURBERRY
AP-1635	Her Burberry	Burberry	Mujer	100 ml	EDT	Amaderado · Floral · Frutal · Gourmand · Especiado · Almizclado	42000	Perfume	Ficha verificada	Salida: pera, strawberry, grosella negra y pimienta rosa. Corazón: peony, lirio de los valles (muguete), rosa y honeysuckle. Fondo: almizcle y cedro.	img/perfumes/her_burberry_mujer_100ml_edt_burberry_d113138f6f.webp	HER BURBERRY MUJER 100ML EDT BURBERRY
AP-1637	Her Burberry	Burberry	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Oriental · Gourmand · Almizclado	46000	Perfume	Ficha verificada	Salida: strawberry, raspberry, zarzamora (frambuesa negra) y sour cherry. Corazón: violeta y jazmín. Fondo: almizcle, vainilla, cachemira y notas amaderadas.	img/perfumes/her_burberry_mujer_100ml_edp_burberry_e24540a229.webp	HER BURBERRY MUJER 100ML EDP BURBERRY
AP-1638	Her Burberry Elixir	Burberry	Mujer	100 ml	EDP	Sin clasificar	56000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/her_burberry_elixir_mujer_100ml_edp_burberry_3a3d423ddd.webp	HER BURBERRY ELIXIR MUJER 100ML EDP BURBERRY
AP-1636	Her Burberry Intense	Burberry	Mujer	100 ml	EDP	Floral · Frutal · Oriental · Gourmand · Especiado	52000	Perfume	Ficha verificada	Salida: red fruits y zarzamora (frambuesa negra). Corazón: jazmín. Fondo: benjuí.	img/perfumes/her_burberry_intense_mujer_100ml_edp_burberry_1dd54d8715.webp	HER BURBERRY INTENSE MUJER 100ML EDP BURBERRY
AP-1043	Mr Burberry	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Oriental · Especiado · Verde	29000	Perfume	Ficha verificada	Salida: toronja (pomelo), cardamomo, tarragon y menta. Corazón: cedro, birch leaf, nuez moscada y lavanda. Fondo: vetiver, madera de gaiac, sándalo y benjuí.	img/perfumes/mr_burberry_hombre_100ml_edt_burberry_04d058f9ba.webp	MR BURBERRY HOMBRE 100ML EDT BURBERRY
AP-1642	My Burberry	Burberry	Mujer	90 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Gourmand · Cuero · Almizclado · Verde	43000	Perfume	Ficha verificada	Salida: sweet pea, bergamota, mandarina y toronja (pomelo). Corazón: quince, fresia, geranio y durazno (melocotón). Fondo: damask rose, rosa, pachulí y almizcle.	img/perfumes/my_burberry_mujer_90ml_edp_burberry_aa79942c58.webp	MY BURBERRY MUJER 90ML EDP BURBERRY
AP-1641	My Burberry Black	Burberry	Mujer	90 ml	EDP	Amaderado · Floral · Frutal · Oriental	43000	Perfume	Ficha verificada	Salida: jazmín. Corazón: durazno (melocotón) y rosa. Fondo: ámbar y pachulí.	img/perfumes/my_burberry_black_mujer_90ml_edp_burberry_edd7bd608c.webp	MY BURBERRY BLACK MUJER 90ML EDP BURBERRY
AP-1643	My Burberry Blush	Burberry	Mujer	90 ml	EDP	Cítrico · Floral · Frutal · Especiado · Verde	43000	Perfume	Ficha verificada	Salida: granada y limón (lima ácida). Corazón: manzana verde, rose petals y geranio. Fondo: wisteria y jazmín.	img/perfumes/my_burberry_blush_mujer_90ml_edp_burberry_8106d180ef.webp	MY BURBERRY BLUSH MUJER 90ML EDP BURBERRY
AP-1049	The Beat	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Especiado · Verde	22000	Perfume	Ficha verificada	Salida: pimienta negra, citron y violeta. Corazón: thyme y geranio. Fondo: vetiver y notas amaderadas.	img/perfumes/the_beat_hombre_100ml_edt_burberry_77717625ca.webp	THE BEAT HOMBRE 100ML EDT BURBERRY
AP-1650	The Beat	Burberry	Mujer	75 ml	EDP	Amaderado · Cítrico · Floral · Especiado · Almizclado · Verde	20000	Perfume	Ficha verificada	Salida: pimienta rosa, mandarina, cardamomo y bergamota. Corazón: tea, iris y bellflower. Fondo: white musk, vetiver y cedro.	img/perfumes/the_beat_mujer_75ml_edp_burberry_2e0e33e20e.webp	THE BEAT MUJER 75ML EDP BURBERRY
AP-1047	Weekend	Burberry	Hombre	100 ml	EDT	Amaderado · Cítrico · Frutal · Oriental · Gourmand · Almizclado · Verde	19000	Perfume	Ficha verificada	Salida: limón (lima ácida), toronja (pomelo), bergamota y piña. Corazón: ivy, musgo de roble y sándalo. Fondo: miel, almizcle y ámbar.	img/perfumes/weekend_hombre_100ml_edt_burberry_7d14e73cb4.webp	WEEKEND HOMBRE 100ML EDT BURBERRY
AP-1634	Weekend	Burberry	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Frutal · Gourmand · Almizclado	20000	Perfume	Ficha verificada	Salida: mignonette, mandarina y sage. Corazón: nectarine, blue hyacinth, peach blossom y rose hip. Fondo: almizcle, sándalo y cedro.	img/perfumes/weekend_mujer_100ml_edp_burberry_bc7cbee9de.webp	WEEKEND MUJER 100ML EDP BURBERRY
AP-1054	Blv	Bvlgari	Hombre	100 ml	EDP	Amaderado · Especiado · Verde	32000	Perfume	Ficha verificada	Salida: cardamomo y sándalo. Corazón: jengibre, enebro y galanga. Fondo: flor del tabaco, green leaves y teak wood.	img/perfumes/blv_hombre_100ml_edp_bvlgari_197b1e4813.webp	BLV HOMBRE 100ML EDP BVLGARI
AP-1671	Boucheron Quatre	Bvlgari	Mujer	100 ml	EDP	Sin clasificar	22000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/boucheron_quatre_mujer_100ml_edp_bvlgari_961ffa2821.webp	BOUCHERON QUATRE MUJER 100ML EDP BVLGARI
AP-1056	Bvlgari	Bvlgari	Hombre	100 ml	EDT	Sin clasificar	39000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/bvlgari_hombre_100ml_edt_bvlgari_c43f2e3639.webp	BVLGARI HOMBRE 100ML EDT BVLGARI
AP-1053	Bvlgari Aqva	Bvlgari	Hombre	100 ml	EDT	Amaderado · Cítrico · Floral · Oriental · Verde	49000	Perfume	Ficha verificada	Salida: mandarina, naranja y petitgrain. Corazón: seaweed, lavanda y cotton flower. Fondo: virginia cedar, woodsy notes, pachulí y clary sage.	img/perfumes/bvlgari_aqva_hombre_100ml_edt_bvlgari_22dc0826c4.webp	BVLGARI AQVA HOMBRE 100ML EDT BVLGARI
AP-1059	Bvlgari Man Glacial Essence	Bvlgari	Unisex	100 ml	EDT	Amaderado · Frutal · Especiado · Almizclado · Verde	39000	Perfume	Ficha verificada	Salida: juniper berries, jengibre y geranio. Corazón: sándalo, raíz de lirio y abrótano. Fondo: clearwood, almizcle y cedro.	img/perfumes/bvlgari_man_glacial_essence_100ml_edt_bvlgari_6a0ac369a2.webp	BVLGARI MAN GLACIAL ESSENCE 100ML EDT BVLGARI
AP-1060	Bvlgari Man In Black	Bvlgari	Hombre	100 ml	EDP	Amaderado · Floral · Oriental · Gourmand · Especiado · Cuero	44000	Perfume	Ficha verificada	Salida: spices, rum y tobacco. Corazón: cuero, iris y nardo. Fondo: haba tonka, madera de gaiac y benjuí.	img/perfumes/bvlgari_man_in_black_hombre_100ml_edp_bvlgari_5937fdb1d0.webp	BVLGARI MAN IN BLACK HOMBRE 100ML EDP BVLGARI
AP-1058	Bvlgari Man Terrae Essence	Bvlgari	Hombre	100 ml	EDP	Amaderado · Cítrico · Oriental · Verde	42000	Perfume	Ficha verificada	Salida: citron y calamansi. Corazón: vetiver y orris. Fondo: earthy notes y styrax.	img/perfumes/bvlgari_man_terrae_essence_hombre_100ml_edp_bvlgari_5614a7500c.webp	BVLGARI MAN TERRAE ESSENCE HOMBRE 100ML EDP BVLGARI
AP-1672	Bvlgari Petit Et Mamans Bebes y Mamas	Bvlgari	Unisex	100 ml	EDT	Sin clasificar	30000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/bvlgari_petit_et_mamans_bebes_y_mamas_100ml_edt_bvlgari_e42f4603a3.webp	BVLGARI PETIT ET MAMANS BEBES Y MAMAS 100ML EDT BVLGARI
AP-1055	Bvlgari Rain Essence	Bvlgari	Hombre	100 ml	EDP	Amaderado · Cítrico · Floral · Oriental · Almizclado · Verde	39000	Perfume	Ficha verificada	Salida: té verde y naranja. Corazón: white lotus y almizcle. Fondo: madera de gaiac y ámbar.	img/perfumes/bvlgari_rain_essence_hombre_100ml_edp_bvlgari_163388976f.webp	BVLGARI RAIN ESSENCE HOMBRE 100ML EDP BVLGARI
AP-1677	Bvlgari Splendida Magnolia Sensual	Bvlgari	Mujer	100 ml	EDP	Amaderado · Cítrico · Floral · Gourmand · Almizclado	50000	Perfume	Ficha verificada	Salida: flor de azahar del naranjo y tangerine. Corazón: magnolia, flor de azahar del naranjo y jazmín. Fondo: almizcle, tahitian vanilla y pachulí.	img/perfumes/bvlgari_splendida_magnolia_sensual_mujer_100ml_edp_bvlgari_f87bd44b85.webp	BVLGARI SPLENDIDA MAGNOLIA SENSUAL MUJER 100ML EDP BVLGARI
AP-1057	Bvlgari Wood Essence	Bvlgari	Hombre	100 ml	EDP	Amaderado · Cítrico · Oriental · Especiado · Verde	39000	Perfume	Ficha verificada	Salida: citruses with sugar, lemon zest y coriander leaf. Corazón: cypress, cedro y vetiver. Fondo: benjuí.	img/perfumes/bvlgari_wood_essence_hombre_100ml_edp_bvlgari_c8d69fdf75.webp	BVLGARI WOOD ESSENCE HOMBRE 100ML EDP BVLGARI
AP-2603	Estuche Bvlgari Omnia Coral	Bvlgari	Mujer	2 pzs. + 100 ml + 15 ml	EDT	Sin clasificar	47000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_bvlgari_omnia_coral_mujer_2pzs_100ml_edt_15ml_edt_5619d72339.webp	ESTUCHE BVLGARI OMNIA CORAL MUJER 2PZS 100ML EDT + 15ML EDT
AP-2601	Estuche Bvlgari Omnia Crystalline	Bvlgari	Mujer	2 pzs. + 100 ml + 15 ml	EDT	Sin clasificar	47000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_bvlgari_omnia_crystalline_mujer_2pzs_100ml_edt_15ml_edt_8b3489b448.webp	ESTUCHE BVLGARI OMNIA CRYSTALLINE MUJER 2PZS 100ML EDT + 15ML EDT
AP-2602	Estuche Bvlgari Rose Goldea Blossom Delight	Bvlgari	Mujer	2 pzs. + 75 ml + 15 ml	EDP	Sin clasificar	44000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_bvlgari_rose_goldea_blossom_delight_mujer_2pzs_75ml_edp_15ml_edp_17c982d394.webp	ESTUCHE BVLGARI ROSE GOLDEA BLOSSOM DELIGHT MUJER 2PZS 75ML EDP + 15ML EDP
AP-2604	Estuche Bvlgary Man In Black	Bvlgari	Hombre	2 pzs. + 100 ml + 15 ml	EDP	Sin clasificar	47000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_bvlgary_man_in_black_hombre_2pzs_100ml_edp_15ml_edp_d4afc9a428.webp	ESTUCHE BVLGARY MAN IN BLACK HOMBRE 2PZS 100ML EDP + 15ML EDP
AP-2425	Estuche Minis Bvlgari	Bvlgari	Hombre	15 ml	No indicada	Sin clasificar	25000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_minis_bvlgari_hombre_3zps_15ml_c_u_good_neroli_glacial_essence_man_in_black_5504a961de.webp	ESTUCHE MINIS BVLGARI HOMBRE 3ZPS 15ML C/U GOOD NEROLI + GLACIAL ESSENCE + MAN IN BLACK
AP-2426	Estuche Minis Bvlgari	Bvlgari	Hombre	15 ml	No indicada	Sin clasificar	26000	Estuche	No aplica	Registro comercial de estuche, miniatura o cuidado corporal; no corresponde a una ficha individual de perfume en Fragrantica.	img/perfumes/estuche_minis_bvlgari_hombre_3zps_15ml_c_u_good_neroli_glacial_essence_man_in_black_5504a961de.webp	ESTUCHE MINIS BVLGARI HOMBRE 3ZPS 15ML C/U GOOD NEROLI + GLACIAL ESSENCE + MAN IN BLACK
AP-1675	Omnia Amethyste	Bvlgari	Mujer	100 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Gourmand · Verde	41000	Perfume	Ficha verificada	Salida: notas verdes y pink grapefruit. Corazón: iris y bulgarian rose. Fondo: heliotrope y woodsy notes.	img/perfumes/omnia_amethyste_mujer_100ml_edt_bvlgari_4a7eb143f4.webp	OMNIA AMETHYSTE MUJER 100ML EDT BVLGARI
AP-1674	Omnia Coral	Bvlgari	Mujer	100 ml	EDT	Amaderado · Cítrico · Floral · Frutal · Especiado · Almizclado	41000	Perfume	Ficha verificada	Salida: bergamota y goji berries. Corazón: granada, hibiscus y water lily. Fondo: almizcle y virginia cedar.	img/perfumes/omnia_coral_mujer_100ml_edt_bvlgari_d83d130961.webp	OMNIA CORAL MUJER 100ML EDT BVLGARI
AP-1676	Omnia Crystalline	Bvlgari	Mujer	100 ml	EDT	Amaderado · Floral · Frutal · Almizclado · Verde	41000	Perfume	Ficha verificada	Salida: bamboo y pera. Corazón: flor de loto, tea y cassia. Fondo: almizcle, madera de gaiac y musgo de roble.	img/perfumes/omnia_crystalline_mujer_100ml_edt_bvlgari_ff4ca911ed.webp	OMNIA CRYSTALLINE MUJER 100ML EDT BVLGARI
AP-1673	Omnia Floral By Mary Katrantzou	Bvlgari	Mujer	65 ml	EDP	Sin clasificar	45000	Perfume	Pendiente	Sin ficha individual verificable en el conjunto de Fragrantica consultado; no se asigna una pirámide para evitar datos inventados.	img/perfumes/omnia_floral_by_mary_katrantzou_mujer_65ml_edp_bvlgari_ebb4bb6e97.webp	OMNIA FLORAL BY MARY KATRANTZOU MUJER 65ML EDP BVLGARI
